edgeR Analysis of Differential Expression Across Pseudotime,,,,,,
,logFC,logCPM,F,PValue,FDR,Cluster
ACADS,0.024808642,8.216106846,247.1223227,3.93E-42,1.38E-41,5
RNPEPL1,0.034168537,8.317357197,476.5210126,8.66E-93,4.87E-92,5
PIBF1,0.033757413,8.144319116,613.1540267,3.28E-76,1.61E-75,5
AFMID,0.023042349,8.196817519,220.8504157,8.79E-34,2.80E-33,5
RPS21,0.020699521,12.07748216,276.3437472,1.32E-61,5.65E-61,5
CDC42EP5,0.021721799,8.69950277,183.7118923,1.19E-41,4.14E-41,5
SART3,0.032069948,8.141748438,571.6345845,1.44E-64,6.33E-64,5
TPGS1,0.016941517,8.32950161,116.5654896,2.90E-24,8.22E-24,5
RCL1,0.037471443,8.167634412,673.6964277,2.64E-86,1.41E-85,5
STX17,0.027252383,8.137979081,411.8352656,8.06E-45,2.92E-44,5
PIGQ,0.025094035,8.147323162,325.0150207,2.85E-37,9.43E-37,5
DBF4,0.028871798,8.157645726,409.4665236,1.22E-51,4.74E-51,5
SHTN1,0.031079853,8.173266809,449.0816859,2.79E-60,1.18E-59,5
CCDC85B,0.028765458,8.907189257,394.9294218,5.67E-87,3.04E-86,5
FEM1A,0.030955903,8.152443907,475.9568204,2.04E-53,8.07E-53,5
SNORC,-0.003946413,8.103661476,4.457796088,0.575868245,0.64895998,5
MIF,0.023925265,10.04721434,313.2025808,1.64E-69,7.57E-69,5
TPM2,0.026570366,8.631544058,171.3577675,5.57E-39,1.89E-38,5
C12orf45,0.028731447,8.347374544,333.2690044,1.70E-64,7.48E-64,5
HEATR1,0.025749483,8.14348761,346.9557297,1.29E-38,4.33E-38,5
INTS11,0.006699191,8.094824816,60.79718876,3.17E-07,6.68E-07,5
GCAT,0.028367624,8.165278922,365.0052076,1.01E-47,3.79E-47,5
SLC9A3,0.000667437,8.073230071,5.965805843,0.12775338,0.177476342,5
GATA6,0.0374986,8.201176,576.6170989,1.59E-84,8.35E-84,5
PRMT7,0.028195437,8.142097665,431.5813874,6.50E-49,2.46E-48,5
CCDC34,0.026995815,8.33611375,269.6521113,9.08E-53,3.56E-52,5
DNAAF2,0.025935866,8.219543713,262.2569785,2.93E-42,1.03E-41,5
FKBP14,0.023924157,8.12188223,350.0259305,4.90E-34,1.56E-33,5
TUT7,0.017795127,8.097794369,318.191114,2.50E-30,7.63E-30,5
ZNF791,0.0327144,8.169669735,493.8956422,1.16E-65,5.18E-65,5
CEMIP2,0.02653355,8.152293943,328.233758,1.78E-57,7.31E-57,5
RPL24,0.035706298,11.62097657,831.0399262,8.61E-179,9.02E-178,5
AC103591.3,-0.007379411,8.077106867,74.03253576,7.45E-05,0.000144341,5
VARS,0.027928219,8.277057042,305.2625248,2.88E-58,1.19E-57,5
ZC3H8,0.0259353,8.22558339,279.1172579,8.90E-44,3.19E-43,5
RPAP2,0.026771788,8.137100284,395.1645871,6.62E-45,2.40E-44,5
FOXA1,0.029405836,8.130574981,473.4944352,4.80E-50,1.83E-49,5
NME6,0.034596394,8.1553717,611.5109973,2.28E-73,1.09E-72,5
FRA10AC1,0.034723697,8.215172385,496.5425367,6.86E-72,3.23E-71,5
MLST8,0.026879772,8.300650878,294.7587508,4.51E-50,1.73E-49,5
NEO1,0.027172706,8.158690178,343.8581109,1.00E-41,3.51E-41,5
TET2,0.013860439,8.102419295,162.7799021,1.31E-14,3.21E-14,5
